"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,6,1,0.187826322826497,0.553333333333333
6,2,0.3,0.3,0.3,6,1,-0.227064295571332,0.47
6,2,0,0.3,0.3,8,1,0.49632253832758,0.0833333333333333
6,2,0.3,0.3,0.3,8,1,0.141639060142681,0.65
6,2,0,0.3,0.3,10,1,-0.0201216345791164,0.92
6,2,0.3,0.3,0.3,10,1,-0.425163975989629,0.0933333333333333
6,2,0,0.3,0.3,12,1,-0.188720324441807,0.366666666666667
6,2,0.3,0.3,0.3,12,1,0.0460562108641619,0.826666666666667
6,2,0,0.3,0.3,14,1,0.195513442148088,0.293333333333333
6,2,0.3,0.3,0.3,14,1,-0.357487087841703,0.07
6,2,0,0.3,0.3,16,1,-0.199886571978041,0.323333333333333
6,2,0.3,0.3,0.3,16,1,-0.321840737927679,0.0766666666666667
6,2,0,0.3,0.3,6,2,0.248244389474642,0.383333333333333
6,2,0.3,0.3,0.3,6,2,0.263014487743632,0.416666666666667
6,2,0,0.3,0.3,8,2,-0.637792643124423,0.0233333333333333
6,2,0.3,0.3,0.3,8,2,-0.373462624763859,0.196666666666667
6,2,0,0.3,0.3,10,2,-0.149277191911775,0.473333333333333
6,2,0.3,0.3,0.3,10,2,-0.708154480365406,0.00333333333333333
6,2,0,0.3,0.3,12,2,0.113366022061893,0.586666666666667
6,2,0.3,0.3,0.3,12,2,0.0459170939342131,0.813333333333333
6,2,0,0.3,0.3,14,2,0.389403092195768,0.04
6,2,0.3,0.3,0.3,14,2,-0.334370856365113,0.0566666666666667
6,2,0,0.3,0.3,16,2,-0.0730144695558229,0.703333333333333
6,2,0.3,0.3,0.3,16,2,-0.27433676949795,0.143333333333333
6,2,0,0.3,0.3,6,3,0.156443889100918,0.643333333333333
6,2,0.3,0.3,0.3,6,3,-0.623089838024985,0.0366666666666667
6,2,0,0.3,0.3,8,3,0.167960944619503,0.533333333333333
6,2,0.3,0.3,0.3,8,3,0.0594381776766057,0.82
6,2,0,0.3,0.3,10,3,0.144979428377464,0.53
6,2,0.3,0.3,0.3,10,3,-0.0440277622345477,0.84
6,2,0,0.3,0.3,12,3,0.360764385015969,0.11
