"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,6,1,0.252493941003477,0.4
6,2,0.3,0.3,0.3,6,1,-0.302903279073004,0.356666666666667
6,2,0,0.3,0.3,8,1,-0.276355215239097,0.296666666666667
6,2,0.3,0.3,0.3,8,1,-0.256087794019566,0.366666666666667
6,2,0,0.3,0.3,10,1,0.0476264965042828,0.85
6,2,0.3,0.3,0.3,10,1,-0.122036111244225,0.633333333333333
6,2,0,0.3,0.3,12,1,-0.324272798705803,0.113333333333333
6,2,0.3,0.3,0.3,12,1,-0.251731409411415,0.18
6,2,0,0.3,0.3,14,1,-0.0516628268264101,0.8
6,2,0.3,0.3,0.3,14,1,-0.232330593117811,0.253333333333333
6,2,0,0.3,0.3,16,1,0.273676900809592,0.116666666666667
6,2,0.3,0.3,0.3,16,1,-0.277220606752703,0.12
6,2,0,0.3,0.3,6,2,-0.250345528135863,0.416666666666667
6,2,0.3,0.3,0.3,6,2,-0.610230590475163,0.0633333333333333
6,2,0,0.3,0.3,8,2,-0.252432369120751,0.336666666666667
6,2,0.3,0.3,0.3,8,2,-0.307130679273441,0.266666666666667
6,2,0,0.3,0.3,10,2,0.179611489938031,0.496666666666667
6,2,0.3,0.3,0.3,10,2,-0.260236912440406,0.28
6,2,0,0.3,0.3,12,2,0.0265398280368993,0.91
6,2,0.3,0.3,0.3,12,2,-0.379330670294023,0.07
6,2,0,0.3,0.3,14,2,-0.0398823326204093,0.88
6,2,0.3,0.3,0.3,14,2,-0.467078984072341,0.0333333333333333
6,2,0,0.3,0.3,16,2,0.078528203099809,0.67
6,2,0.3,0.3,0.3,16,2,-0.275695201775162,0.126666666666667
6,2,0,0.3,0.3,6,3,-0.278914416290769,0.326666666666667
6,2,0.3,0.3,0.3,6,3,-0.917753684065859,0.01
6,2,0,0.3,0.3,8,3,0.0113341733321788,0.983333333333333
6,2,0.3,0.3,0.3,8,3,-0.13513228316049,0.653333333333333
6,2,0,0.3,0.3,10,3,-0.384388456155493,0.14
6,2,0.3,0.3,0.3,10,3,-0.323055911186797,0.166666666666667
6,2,0,0.3,0.3,12,3,0.263241846502358,0.21
6,2,0.3,0.3,0.3,12,3,-0.395386284496066,0.0566666666666667
6,2,0,0.3,0.3,14,3,-0.326754294906541,0.0833333333333333
6,2,0.3,0.3,0.3,14,3,-0.393094443287159,0.0466666666666667
6,2,0,0.3,0.3,16,3,0.00430248160222668,0.986666666666667
6,2,0.3,0.3,0.3,16,3,-0.346059659257848,0.0366666666666667
6,2,0,0.3,0.3,6,4,-0.599376207840637,0.06
6,2,0.3,0.3,0.3,6,4,0.338666744918094,0.31
6,2,0,0.3,0.3,8,4,-0.600404919891966,0.03
6,2,0.3,0.3,0.3,8,4,0.222317397272319,0.38
6,2,0,0.3,0.3,10,4,-0.0717818973941063,0.766666666666667
6,2,0.3,0.3,0.3,10,4,-0.066465416024573,0.786666666666667
6,2,0,0.3,0.3,12,4,0.367272034578631,0.0933333333333333
6,2,0.3,0.3,0.3,12,4,-0.255219174585305,0.186666666666667
6,2,0,0.3,0.3,14,4,-0.0561979913653238,0.753333333333333
6,2,0.3,0.3,0.3,14,4,-0.102930099506102,0.593333333333333
6,2,0,0.3,0.3,16,4,-0.0124289404021905,0.94
6,2,0.3,0.3,0.3,16,4,-0.39126111695551,0.03
6,2,0,0.3,0.3,6,5,-0.203104226458848,0.503333333333333
6,2,0.3,0.3,0.3,6,5,-0.492756453291163,0.14
6,2,0,0.3,0.3,8,5,-0.136808879274778,0.613333333333333
6,2,0.3,0.3,0.3,8,5,-0.144672260171944,0.67
6,2,0,0.3,0.3,10,5,-0.272576627246166,0.253333333333333
6,2,0.3,0.3,0.3,10,5,-0.3856248846877,0.126666666666667
6,2,0,0.3,0.3,12,5,0.373578331929997,0.0733333333333333
6,2,0.3,0.3,0.3,12,5,-0.0929219096411371,0.65
6,2,0,0.3,0.3,14,5,-0.41944070194233,0.0366666666666667
6,2,0.3,0.3,0.3,14,5,-0.205571566213766,0.343333333333333
6,2,0,0.3,0.3,16,5,-0.0734752069599753,0.75
6,2,0.3,0.3,0.3,16,5,-0.0782596139864551,0.666666666666667
6,2,0,0.3,0.3,6,6,0.170782710070966,0.563333333333333
6,2,0.3,0.3,0.3,6,6,-0.154613373828613,0.626666666666667
6,2,0,0.3,0.3,8,6,-0.145984501002346,0.51
6,2,0.3,0.3,0.3,8,6,-0.598116790128135,0.03
6,2,0,0.3,0.3,10,6,-0.038567277589145,0.84
6,2,0.3,0.3,0.3,10,6,-0.196639761666892,0.38
6,2,0,0.3,0.3,12,6,-0.2202897899114,0.286666666666667
6,2,0.3,0.3,0.3,12,6,-0.466220955986385,0.0366666666666667
6,2,0,0.3,0.3,14,6,0.0876222210497714,0.636666666666667
6,2,0.3,0.3,0.3,14,6,-0.331145571317855,0.09
6,2,0,0.3,0.3,16,6,-0.00510539727768074,0.993333333333333
6,2,0.3,0.3,0.3,16,6,-0.207597610639622,0.21
6,2,0,0.3,0.3,6,7,0.248082132748319,0.426666666666667
6,2,0.3,0.3,0.3,6,7,0.200686841980171,0.516666666666667
6,2,0,0.3,0.3,8,7,0.0410539755362275,0.883333333333333
6,2,0.3,0.3,0.3,8,7,-0.190745439401927,0.446666666666667
6,2,0,0.3,0.3,10,7,-0.313557012199662,0.223333333333333
6,2,0.3,0.3,0.3,10,7,-0.257831839261156,0.286666666666667
6,2,0,0.3,0.3,12,7,-0.30374864743774,0.14
6,2,0.3,0.3,0.3,12,7,-0.462266768179176,0.0566666666666667
6,2,0,0.3,0.3,14,7,0.0922486502661163,0.636666666666667
6,2,0.3,0.3,0.3,14,7,-0.425788302922602,0.0433333333333333
6,2,0,0.3,0.3,16,7,-0.0452668614924202,0.826666666666667
6,2,0.3,0.3,0.3,16,7,-0.206071163767419,0.266666666666667
6,2,0,0.3,0.3,6,8,-0.0629204095270396,0.816666666666667
6,2,0.3,0.3,0.3,6,8,0.153580004293286,0.59
6,2,0,0.3,0.3,8,8,0.0950352622796456,0.74
6,2,0.3,0.3,0.3,8,8,-0.147351534386478,0.6
6,2,0,0.3,0.3,10,8,0.0179604097097034,0.923333333333333
