"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,10,1,-0.170246558520943,0.473333333333333
6,2,0.3,0.3,0.3,10,1,0.103074915491643,0.646666666666667
6,2,0,0.3,0.3,15,1,-0.0565779269258412,0.733333333333333
6,2,0.3,0.3,0.3,15,1,0.0371458854325718,0.79
6,2,0,0.3,0.3,20,1,0.195467143340382,0.183333333333333
6,2,0.3,0.3,0.3,20,1,-0.286129869013149,0.12
6,2,0,0.3,0.3,25,1,0.00715673329176079,0.926666666666667
6,2,0.3,0.3,0.3,25,1,-0.241581250067048,0.1
6,2,0,0.3,0.3,30,1,-0.0134851492381965,0.95
6,2,0.3,0.3,0.3,30,1,-0.521902454057918,0
6,2,0,0.3,0.3,35,1,-0.00455106340240341,0.97
6,2,0.3,0.3,0.3,35,1,-0.509270985462051,0
6,2,0,0.3,0.3,40,1,-0.0566085852797152,0.58
6,2,0.3,0.3,0.3,40,1,-0.540270222554046,0
6,2,0,0.3,0.3,10,2,0.0886861811193455,0.74
6,2,0.3,0.3,0.3,10,2,-0.298319269843196,0.223333333333333
6,2,0,0.3,0.3,15,2,0.367149020172883,0.05
6,2,0.3,0.3,0.3,15,2,-0.461409268258687,0.0133333333333333
6,2,0,0.3,0.3,20,2,0.0701396675750335,0.703333333333333
6,2,0.3,0.3,0.3,20,2,-0.0295237523418928,0.86
6,2,0,0.3,0.3,25,2,0.0943503857613715,0.533333333333333
6,2,0.3,0.3,0.3,25,2,0.0199333825861517,0.906666666666667
6,2,0,0.3,0.3,30,2,0.0802654172400985,0.49
6,2,0.3,0.3,0.3,30,2,-0.208445216735875,0.153333333333333
6,2,0,0.3,0.3,35,2,-0.213164304456565,0.0933333333333333
6,2,0.3,0.3,0.3,35,2,-0.50167548150531,0
6,2,0,0.3,0.3,40,2,0.0479387889542116,0.686666666666667
6,2,0.3,0.3,0.3,40,2,-0.216203699485632,0.06
6,2,0,0.3,0.3,10,3,0.299798456008575,0.226666666666667
6,2,0.3,0.3,0.3,10,3,-0.531289385257069,0.0233333333333333
6,2,0,0.3,0.3,15,3,0.309627281383612,0.1
6,2,0.3,0.3,0.3,15,3,-0.095892696525336,0.626666666666667
6,2,0,0.3,0.3,20,3,-0.174733321692551,0.313333333333333
6,2,0.3,0.3,0.3,20,3,-0.438906840646304,0.00333333333333333
