"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,10,1,0.548738783374178,0.0133333333333333
6,2,0.3,0.3,0.3,10,1,-0.0348804193560882,0.913333333333333
6,2,0,0.3,0.3,30,1,0.26652476130895,0.0433333333333333
6,2,0.3,0.3,0.3,30,1,-0.332414695422503,0.02
6,2,0,0.3,0.3,50,1,-0.107525040607485,0.253333333333333
6,2,0.3,0.3,0.3,50,1,-0.263228461755391,0.0133333333333333
6,2,0,0.3,0.3,70,1,0.0586168230285629,0.446666666666667
6,2,0.3,0.3,0.3,70,1,-0.272749333463618,0
6,2,0,0.3,0.3,90,1,0.139120706770135,0.06
6,2,0.3,0.3,0.3,90,1,-0.231418748552656,0.01
6,2,0,0.3,0.3,110,1,0.167939246116548,0.03
6,2,0.3,0.3,0.3,110,1,-0.158609591199226,0.0433333333333333
6,2,0,0.3,0.3,10,2,0.0816506279505269,0.73
6,2,0.3,0.3,0.3,10,2,-0.538426660909459,0.0233333333333333
6,2,0,0.3,0.3,30,2,-0.0283865067028032,0.876666666666667
6,2,0.3,0.3,0.3,30,2,-0.0678299234209296,0.61
6,2,0,0.3,0.3,50,2,0.155242169336484,0.14
6,2,0.3,0.3,0.3,50,2,-0.0611942046462347,0.56
6,2,0,0.3,0.3,70,2,-0.0568765952535004,0.51
6,2,0.3,0.3,0.3,70,2,-0.352365872597861,0
6,2,0,0.3,0.3,90,2,-0.0342928379817571,0.646666666666667
6,2,0.3,0.3,0.3,90,2,-0.248293970325381,0
6,2,0,0.3,0.3,110,2,-0.0460921329568512,0.513333333333333
6,2,0.3,0.3,0.3,110,2,-0.294336645794248,0
6,2,0,0.3,0.3,10,3,0.402990140030452,0.136666666666667
6,2,0.3,0.3,0.3,10,3,0.0495166602569816,0.823333333333333
6,2,0,0.3,0.3,30,3,-0.126619136767459,0.353333333333333
6,2,0.3,0.3,0.3,30,3,-0.371479124099557,0.01
6,2,0,0.3,0.3,50,3,0.0550932701991306,0.58
6,2,0.3,0.3,0.3,50,3,-0.184532777766097,0.08
6,2,0,0.3,0.3,70,3,-0.0864300795635989,0.296666666666667
6,2,0.3,0.3,0.3,70,3,-0.228638382907739,0.00333333333333333
6,2,0,0.3,0.3,90,3,-0.0430268769303411,0.553333333333333
6,2,0.3,0.3,0.3,90,3,-0.31021488591834,0
6,2,0,0.3,0.3,110,3,-0.0207569015356606,0.8
6,2,0.3,0.3,0.3,110,3,-0.335466322689208,0
6,2,0,0.3,0.3,10,4,0.111983885887505,0.61
6,2,0.3,0.3,0.3,10,4,-0.154193869079588,0.506666666666667
6,2,0,0.3,0.3,30,4,0.0756973409788019,0.6
6,2,0.3,0.3,0.3,30,4,-0.257235421590767,0.05
6,2,0,0.3,0.3,50,4,0.176955056168686,0.0833333333333333
6,2,0.3,0.3,0.3,50,4,-0.37189048819498,0.00666666666666667
6,2,0,0.3,0.3,70,4,-0.0110875956989748,0.856666666666667
6,2,0.3,0.3,0.3,70,4,-0.420486204297481,0
6,2,0,0.3,0.3,90,4,-0.0825906706736973,0.243333333333333
6,2,0.3,0.3,0.3,90,4,-0.401722652321161,0
6,2,0,0.3,0.3,110,4,0.0200292502717101,0.806666666666667
6,2,0.3,0.3,0.3,110,4,-0.324353728262849,0
6,2,0,0.3,0.3,10,5,0.330846110982784,0.14
6,2,0.3,0.3,0.3,10,5,-0.596959695590596,0.03
6,2,0,0.3,0.3,30,5,-0.013555025656969,0.923333333333333
6,2,0.3,0.3,0.3,30,5,-0.213176202620528,0.106666666666667
6,2,0,0.3,0.3,50,5,1.02886461070418e-05,1
6,2,0.3,0.3,0.3,50,5,-0.327999291192832,0.00666666666666667
6,2,0,0.3,0.3,70,5,-0.0248255780041113,0.786666666666667
