"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","boot_se","boot_pval","coef","boot_pval"
6,2,0,0.3,0.3,8,1,NA,NA,-0.09731486599819,0.738
6,2,0,0.3,0.3,8,2,NA,NA,-0.0698250090721653,0.796
6,2,0,0.3,0.3,8,3,NA,NA,-0.265041261111249,0.292
6,2,0,0.3,0.3,8,4,NA,NA,0.0209220955182269,0.938
6,2,0,0.3,0.3,8,5,NA,NA,-0.295957565558925,0.284
6,2,0,0.3,0.3,8,6,NA,NA,-0.318974857798604,0.226
6,2,0,0.3,0.3,8,7,NA,NA,-0.0774496229097272,0.782
6,2,0,0.3,0.3,8,8,NA,NA,0.212484208951179,0.39
6,2,0,0.3,0.3,8,9,NA,NA,-0.110546688495552,0.674
6,2,0,0.3,0.3,8,10,NA,NA,-0.714359448070718,0.01
6,2,0,0.3,0.3,8,11,NA,NA,0.204141595816094,0.464
6,2,0,0.3,0.3,8,12,NA,NA,-0.107371729238141,0.704
6,2,0,0.3,0.3,8,13,NA,NA,0.305474554392265,0.238
6,2,0,0.3,0.3,8,14,NA,NA,0.125318756295419,0.626
6,2,0,0.3,0.3,8,15,NA,NA,-0.0338123000539401,0.888
6,2,0,0.3,0.3,8,16,NA,NA,0.280031239681638,0.26
6,2,0,0.3,0.3,8,17,NA,NA,-0.68772835472542,0.014
6,2,0,0.3,0.3,8,18,NA,NA,0.114062424643918,0.662
6,2,0,0.3,0.3,8,19,NA,NA,-0.117089122163447,0.672
6,2,0,0.3,0.3,8,20,NA,NA,-0.383246092863394,0.144
6,2,0,0.3,0.3,8,21,NA,NA,0.669174721844747,0.01
6,2,0,0.3,0.3,8,22,NA,NA,0.349099335161271,0.208
6,2,0,0.3,0.3,8,23,NA,NA,0.083488756716393,0.74
6,2,0,0.3,0.3,8,24,NA,NA,-0.246011693506174,0.35
6,2,0,0.3,0.3,8,25,NA,NA,0.0450596417023375,0.84
6,2,0,0.3,0.3,8,26,NA,NA,0.198757076829328,0.434
6,2,0,0.3,0.3,8,27,NA,NA,0.567828416544529,0.038
6,2,0,0.3,0.3,8,28,NA,NA,0.145274281483923,0.608
6,2,0,0.3,0.3,8,29,NA,NA,-0.345338777448931,0.2
6,2,0,0.3,0.3,8,30,NA,NA,-0.220711125658355,0.374
6,2,0,0.3,0.3,8,31,NA,NA,-0.153826367043672,0.554
6,2,0,0.3,0.3,8,32,NA,NA,0.308291981616077,0.248
6,2,0,0.3,0.3,8,33,NA,NA,-0.0563685793280169,0.818
6,2,0,0.3,0.3,8,34,NA,NA,-0.384503659325355,0.134
6,2,0,0.3,0.3,8,35,NA,NA,0.0836567051908363,0.752
6,2,0,0.3,0.3,8,36,NA,NA,0.0514619049963982,0.868
6,2,0,0.3,0.3,8,37,NA,NA,0.606949532386237,0.036
6,2,0,0.3,0.3,8,38,NA,NA,0.0775722710415858,0.776
6,2,0,0.3,0.3,8,39,NA,NA,-0.085414512785008,0.762
6,2,0,0.3,0.3,8,40,NA,NA,-0.25664273314099,0.328
6,2,0,0.3,0.3,8,41,NA,NA,-0.270376824684207,0.33
6,2,0,0.3,0.3,8,42,NA,NA,-0.298457068089452,0.242
6,2,0,0.3,0.3,8,43,NA,NA,-0.0809885532260697,0.746
6,2,0,0.3,0.3,8,44,NA,NA,0.0972087468314227,0.712
6,2,0,0.3,0.3,8,45,NA,NA,-0.500142571205216,0.048
6,2,0,0.3,0.3,8,46,NA,NA,0.503377688634581,0.048
6,2,0,0.3,0.3,8,47,NA,NA,0.0513443632583248,0.852
6,2,0,0.3,0.3,8,48,NA,NA,0.24400453033793,0.312
6,2,0,0.3,0.3,8,49,NA,NA,0.20806795385541,0.396
6,2,0,0.3,0.3,8,50,NA,NA,0.12834862054817,0.636
6,2,0,0.3,0.3,8,51,NA,NA,0.183558635681551,0.478
6,2,0,0.3,0.3,8,52,NA,NA,0.00262160903120036,0.992
6,2,0,0.3,0.3,8,53,NA,NA,0.289492853111336,0.254
6,2,0,0.3,0.3,8,54,NA,NA,-0.381817867132265,0.116
