"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,73,10,0,0.3,6,3,-1.29707577884304,0.02
6,2,0.2,472,10,0,0.3,6,3,-2.18333093941652,0.022
6,2,0.2,68,10,0,0.3,6,3,2.67380895626437,0.026
6,2,0.2,456,10,0,0.3,6,3,1.09839803415306,0.028
6,2,0.2,259,10,0,0.3,6,3,1.0875255083786,0.036
6,2,0.2,192,10,0,0.3,6,3,1.30259810840303,0.038
6,2,0.2,294,10,0,0.3,6,3,-1.0041561296336,0.042
6,2,0.2,11,10,0,0.3,6,3,-1.71644206466468,0.044
6,2,0.2,174,10,0,0.3,6,3,-1.17604045200207,0.048
6,2,0.2,287,10,0,0.3,6,3,2.26953408928946,0.048
6,2,0.2,308,10,0,0.3,6,3,-1.58970955423874,0.05
6,2,0.2,52,10,0,0.3,6,3,-1.78782858169768,0.052
6,2,0.2,403,10,0,0.3,6,3,1.8837822679393,0.054
6,2,0.2,462,10,0,0.3,6,3,-1.98782502851444,0.054
6,2,0.2,161,10,0,0.3,6,3,1.89596418080595,0.058
6,2,0.2,367,10,0,0.3,6,3,-1.71107945220834,0.06
6,2,0.2,207,10,0,0.3,6,3,-1.08524579405631,0.062
6,2,0.2,127,10,0,0.3,6,3,1.53683962763111,0.064
6,2,0.2,258,10,0,0.3,6,3,1.27102094102287,0.064
6,2,0.2,170,10,0,0.3,6,3,-1.71823931844364,0.066
6,2,0.2,329,10,0,0.3,6,3,-1.62811179380108,0.066
6,2,0.2,418,10,0,0.3,6,3,-2.68501937920979,0.066
6,2,0.2,185,10,0,0.3,6,3,-0.846321208095389,0.068
6,2,0.2,172,10,0,0.3,6,3,-1.64449395642302,0.07
6,2,0.2,286,10,0,0.3,6,3,-1.58026879303486,0.07
6,2,0.2,458,10,0,0.3,6,3,-1.05528090242208,0.07
6,2,0.2,214,10,0,0.3,6,3,-1.44769362611993,0.072
6,2,0.2,474,10,0,0.3,6,3,1.73364586763941,0.074
6,2,0.2,65,10,0,0.3,6,3,-1.11368081048002,0.076
6,2,0.2,297,10,0,0.3,6,3,0.895194392533938,0.076
6,2,0.2,47,10,0,0.3,6,3,1.04113002902133,0.078
6,2,0.2,72,10,0,0.3,6,3,1.23995574059816,0.078
6,2,0.2,163,10,0,0.3,6,3,-1.4194328543129,0.078
6,2,0.2,313,10,0,0.3,6,3,1.28654045825201,0.078
6,2,0.2,356,10,0,0.3,6,3,1.28784343902535,0.078
6,2,0.2,128,10,0,0.3,6,3,-1.00209461738305,0.08
6,2,0.2,290,10,0,0.3,6,3,-1.68113990692308,0.08
6,2,0.2,96,10,0,0.3,6,3,-0.867946230664529,0.082
6,2,0.2,188,10,0,0.3,6,3,0.774798541475548,0.082
6,2,0.2,315,10,0,0.3,6,3,1.33986252052475,0.082
6,2,0.2,396,10,0,0.3,6,3,1.67974006865458,0.082
6,2,0.2,358,10,0,0.3,6,3,1.02905942014024,0.084
6,2,0.2,317,10,0,0.3,6,3,-1.36125226648934,0.086
6,2,0.2,441,10,0,0.3,6,3,-1.01144934065201,0.09
6,2,0.2,3,10,0,0.3,6,3,0.942524902252273,0.092
6,2,0.2,300,10,0,0.3,6,3,0.929767308268737,0.092
6,2,0.2,103,10,0,0.3,6,3,1.31386824341885,0.094
6,2,0.2,215,10,0,0.3,6,3,1.69616867078821,0.094
6,2,0.2,257,10,0,0.3,6,3,-1.42856336775932,0.094
6,2,0.2,415,10,0,0.3,6,3,-0.832776607081485,0.096
6,2,0.2,492,10,0,0.3,6,3,1.56974271217626,0.098
6,2,0.2,500,10,0,0.3,6,3,1.28238861228419,0.098
6,2,0.2,86,10,0,0.3,6,3,-0.777680870948814,0.1
6,2,0.2,146,10,0,0.3,6,3,-1.60081126060771,0.1
6,2,0.2,369,10,0,0.3,6,3,1.30493967987468,0.102
6,2,0.2,475,10,0,0.3,6,3,2.08651691147682,0.102
6,2,0.2,180,10,0,0.3,6,3,0.9327570417679,0.104
6,2,0.2,260,10,0,0.3,6,3,-1.432535579888,0.104
6,2,0.2,50,10,0,0.3,6,3,1.02143340930303,0.108
6,2,0.2,467,10,0,0.3,6,3,-1.42535795687854,0.108
6,2,0.2,335,10,0,0.3,6,3,-1.26072499071091,0.11
6,2,0.2,83,10,0,0.3,6,3,-1.18284431840604,0.112
6,2,0.2,122,10,0,0.3,6,3,1.48282931529613,0.112
6,2,0.2,344,10,0,0.3,6,3,-1.01095915914402,0.112
6,2,0.2,359,10,0,0.3,6,3,1.88669932755855,0.112
6,2,0.2,220,10,0,0.3,6,3,1.20244638648785,0.114
6,2,0.2,223,10,0,0.3,6,3,-1.13545220699245,0.114
6,2,0.2,354,10,0,0.3,6,3,-0.742790627321426,0.114
6,2,0.2,114,10,0,0.3,6,3,-1.01007880649243,0.116
6,2,0.2,120,10,0,0.3,6,3,1.47736978275685,0.118
6,2,0.2,213,10,0,0.3,6,3,-0.968142503086654,0.118
6,2,0.2,21,10,0,0.3,6,3,1.36244968840197,0.12
6,2,0.2,493,10,0,0.3,6,3,1.09691182560852,0.12
6,2,0.2,137,10,0,0.3,6,3,-1.8700410059474,0.122
6,2,0.2,143,10,0,0.3,6,3,1.4128898497504,0.122
6,2,0.2,379,10,0,0.3,6,3,-1.2106989788337,0.122
6,2,0.2,104,10,0,0.3,6,3,-1.32290882127475,0.124
6,2,0.2,459,10,0,0.3,6,3,-1.09146429555446,0.124
6,2,0.2,60,10,0,0.3,6,3,-0.760434497448045,0.126
6,2,0.2,164,10,0,0.3,6,3,-0.846784929312207,0.126
6,2,0.2,320,10,0,0.3,6,3,-1.50386179339554,0.126
6,2,0.2,384,10,0,0.3,6,3,-1.78074111111926,0.126
6,2,0.2,401,10,0,0.3,6,3,1.52141974123845,0.128
6,2,0.2,112,10,0,0.3,6,3,1.46121763446595,0.13
6,2,0.2,289,10,0,0.3,6,3,-1.04992723550916,0.13
6,2,0.2,160,10,0,0.3,6,3,1.02396726701514,0.134
6,2,0.2,208,10,0,0.3,6,3,-1.33959995312057,0.134
6,2,0.2,372,10,0,0.3,6,3,-1.08112238879187,0.134
6,2,0.2,186,10,0,0.3,6,3,1.04883130862837,0.136
6,2,0.2,221,10,0,0.3,6,3,-1.18408528328209,0.138
6,2,0.2,157,10,0,0.3,6,3,-1.2322349915259,0.14
6,2,0.2,57,10,0,0.3,6,3,-0.757519663973625,0.142
6,2,0.2,301,10,0,0.3,6,3,0.630935444231625,0.142
6,2,0.2,69,10,0,0.3,6,3,-0.94322914895082,0.146
6,2,0.2,121,10,0,0.3,6,3,-1.41149707792212,0.146
6,2,0.2,133,10,0,0.3,6,3,-1.04653625020029,0.146
6,2,0.2,206,10,0,0.3,6,3,-0.558795458605317,0.146
6,2,0.2,48,10,0,0.3,6,3,-1.28212721703204,0.148
6,2,0.2,476,10,0,0.3,6,3,-0.934231235654011,0.148
6,2,0.2,58,10,0,0.3,6,3,-1.06444016630954,0.15
6,2,0.2,169,10,0,0.3,6,3,0.898764152872701,0.154
6,2,0.2,10,10,0,0.3,6,3,1.25736806360567,0.156
6,2,0.2,74,10,0,0.3,6,3,-0.822442164273468,0.156
6,2,0.2,284,10,0,0.3,6,3,-1.24312118123228,0.156
6,2,0.2,154,10,0,0.3,6,3,1.06990775332093,0.158
6,2,0.2,345,10,0,0.3,6,3,0.954756290534249,0.158
6,2,0.2,410,10,0,0.3,6,3,0.712383171845289,0.158
6,2,0.2,75,10,0,0.3,6,3,0.697972974163378,0.16
6,2,0.2,235,10,0,0.3,6,3,1.123059644573,0.16
6,2,0.2,8,10,0,0.3,6,3,-1.1195485350971,0.162
6,2,0.2,310,10,0,0.3,6,3,-1.31651202086971,0.166
6,2,0.2,392,10,0,0.3,6,3,-1.04050795496323,0.166
6,2,0.2,438,10,0,0.3,6,3,-0.993516608499192,0.17
6,2,0.2,306,10,0,0.3,6,3,-0.643162801899649,0.172
6,2,0.2,460,10,0,0.3,6,3,-0.899862192986888,0.172
6,2,0.2,479,10,0,0.3,6,3,0.818652028071114,0.172
6,2,0.2,110,10,0,0.3,6,3,1.01343378290449,0.174
6,2,0.2,219,10,0,0.3,6,3,-1.34120082705678,0.176
6,2,0.2,409,10,0,0.3,6,3,1.00853938366146,0.176
6,2,0.2,102,10,0,0.3,6,3,-1.31906572451459,0.178
6,2,0.2,212,10,0,0.3,6,3,1.09301354359235,0.178
6,2,0.2,273,10,0,0.3,6,3,-0.805718612729606,0.178
6,2,0.2,481,10,0,0.3,6,3,1.27507365704423,0.178
6,2,0.2,368,10,0,0.3,6,3,1.31987524409288,0.196
6,2,0.2,314,10,0,0.3,6,3,0.976631852567124,0.198
6,2,0.2,55,10,0,0.3,6,3,-1.11905477087191,0.2
6,2,0.2,378,10,0,0.3,6,3,-1.17790304177871,0.204
6,2,0.2,451,10,0,0.3,6,3,0.951610648803012,0.206
6,2,0.2,263,10,0,0.3,6,3,-0.929660528588698,0.212
6,2,0.2,444,10,0,0.3,6,3,0.726818090705422,0.214
6,2,0.2,59,10,0,0.3,6,3,0.964043841265124,0.216
