"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,270,10,0,0.3,6,3,1.53501639635257,0.024
6,2,0.2,300,10,0,0.3,6,3,1.57683528960752,0.026
6,2,0.2,479,10,0,0.3,6,3,-1.95820892845418,0.028
6,2,0.2,330,10,0,0.3,6,3,1.43583527279407,0.03
6,2,0.2,457,10,0,0.3,6,3,-0.57912962288097,0.032
6,2,0.2,372,10,0,0.3,6,3,-1.1448519895003,0.036
6,2,0.2,119,10,0,0.3,6,3,2.31522107389628,0.04
6,2,0.2,113,10,0,0.3,6,3,1.91307547461477,0.042
6,2,0.2,191,10,0,0.3,6,3,-1.7980471345457,0.042
6,2,0.2,232,10,0,0.3,6,3,-0.669659039355992,0.042
6,2,0.2,75,10,0,0.3,6,3,2.11530493150477,0.044
6,2,0.2,485,10,0,0.3,6,3,2.22385169755512,0.046
6,2,0.2,429,10,0,0.3,6,3,-1.36412426670469,0.052
6,2,0.2,126,10,0,0.3,6,3,-1.51896977494371,0.056
6,2,0.2,164,10,0,0.3,6,3,-2.4433881859959,0.056
6,2,0.2,496,10,0,0.3,6,3,-1.00315929187531,0.056
6,2,0.2,58,10,0,0.3,6,3,-0.798271492354729,0.058
6,2,0.2,87,10,0,0.3,6,3,-2.59982476177476,0.058
6,2,0.2,265,10,0,0.3,6,3,1.23788843875107,0.058
6,2,0.2,285,10,0,0.3,6,3,-1.46896964366911,0.058
6,2,0.2,344,10,0,0.3,6,3,0.745527551004471,0.058
6,2,0.2,367,10,0,0.3,6,3,-1.24369202370738,0.058
6,2,0.2,157,10,0,0.3,6,3,1.95693018314051,0.06
6,2,0.2,399,10,0,0.3,6,3,1.36626482407883,0.06
6,2,0.2,181,10,0,0.3,6,3,1.03641690974808,0.062
6,2,0.2,340,10,0,0.3,6,3,-1.82613412600878,0.062
6,2,0.2,94,10,0,0.3,6,3,1.48629323726678,0.064
6,2,0.2,131,10,0,0.3,6,3,1.49243765025855,0.064
6,2,0.2,183,10,0,0.3,6,3,1.50538470982815,0.064
6,2,0.2,451,10,0,0.3,6,3,1.86437695164472,0.064
6,2,0.2,252,10,0,0.3,6,3,-1.92295361043915,0.066
6,2,0.2,44,10,0,0.3,6,3,1.11421454345611,0.07
6,2,0.2,493,10,0,0.3,6,3,1.54198486221929,0.07
6,2,0.2,33,10,0,0.3,6,3,1.18076851864043,0.072
6,2,0.2,102,10,0,0.3,6,3,1.17241928642179,0.072
6,2,0.2,337,10,0,0.3,6,3,-1.30265508567112,0.074
6,2,0.2,23,10,0,0.3,6,3,1.26645483502415,0.076
6,2,0.2,204,10,0,0.3,6,3,1.38013607772629,0.076
6,2,0.2,197,10,0,0.3,6,3,1.24494610141502,0.078
6,2,0.2,172,10,0,0.3,6,3,-1.45706185191108,0.08
6,2,0.2,401,10,0,0.3,6,3,-1.45506837910898,0.08
6,2,0.2,123,10,0,0.3,6,3,-1.39758844487426,0.082
6,2,0.2,247,10,0,0.3,6,3,1.80737722159984,0.082
6,2,0.2,21,10,0,0.3,6,3,-1.82763689709284,0.086
6,2,0.2,57,10,0,0.3,6,3,-1.82141127352023,0.086
6,2,0.2,388,10,0,0.3,6,3,-0.599188918716493,0.086
