"nGroupT","nGroupC","meanC","sdC","iteration","ef","rho","sampleSize","idSD","coef","boot_pval"
2,2,3.46,0.5,8,0,0.3,5,0.5,0.494438262748872,0.015
2,2,3.46,0.5,1,0,0.3,5,5,5.98223460840813,0.035
2,2,3.46,0.5,9,0,0.3,5,1,1.50346659992204,0.07
2,2,3.46,0.5,10,0,0.3,5,1,1.05119691236428,0.07
2,2,3.46,0.5,7,0,0.3,5,0.5,0.453181835449072,0.08
2,2,3.46,0.5,9,0,0.3,5,0.5,0.686082231215778,0.08
2,2,3.46,0.5,4,0,0.3,5,0.5,-0.667432181426989,0.085
2,2,3.46,0.5,10,0,0.3,5,0.5,-0.826280004515866,0.185
2,2,3.46,0.5,3,0,0.3,5,0.5,-0.986392548461254,0.215
2,2,3.46,0.5,5,0,0.3,5,1,0.688791848226174,0.295
2,2,3.46,0.5,7,0,0.3,5,5,9.38185654808638,0.32
2,2,3.46,0.5,2,0,0.3,5,0.5,-0.350535972753391,0.35
2,2,3.46,0.5,10,0,0.3,5,5,-2.49297146990671,0.365
2,2,3.46,0.5,1,0,0.3,5,1,0.707330503162666,0.495
2,2,3.46,0.5,5,0,0.3,5,0.5,0.407080858013956,0.505
2,2,3.46,0.5,2,0,0.3,5,1,-0.961072891073513,0.525
2,2,3.46,0.5,6,0,0.3,5,0.5,-0.353394376724168,0.53
2,2,3.46,0.5,5,0,0.3,5,5,-4.59290884179609,0.59
2,2,3.46,0.5,3,0,0.3,5,1,0.376120356814454,0.595
2,2,3.46,0.5,6,0,0.3,5,1,-0.717835394888766,0.605
2,2,3.46,0.5,8,0,0.3,5,5,1.68709505859636,0.625
2,2,3.46,0.5,1,0,0.3,5,0.5,0.492967311779125,0.635
2,2,3.46,0.5,6,0,0.3,5,5,1.00261963386743,0.665
2,2,3.46,0.5,4,0,0.3,5,5,-1.66327654247038,0.725
2,2,3.46,0.5,9,0,0.3,5,5,1.08929953381994,0.73
2,2,3.46,0.5,3,0,0.3,5,5,3.18095049065289,0.74
2,2,3.46,0.5,8,0,0.3,5,1,0.251592603685481,0.755
2,2,3.46,0.5,4,0,0.3,5,1,-0.297034756188168,0.765
2,2,3.46,0.5,2,0,0.3,5,5,0.506920397393401,0.79
2,2,3.46,0.5,7,0,0.3,5,1,0.12344510008927,0.8
2,2,3.46,0.5,8,0,0.3,10,1,0.953724108951519,0.045
2,2,3.46,0.5,7,0,0.3,10,5,4.51383509018979,0.05
2,2,3.46,0.5,6,0,0.3,10,0.5,-0.475236622492503,0.08
2,2,3.46,0.5,1,0,0.3,10,0.5,0.288989743745788,0.29
2,2,3.46,0.5,7,0,0.3,10,1,0.574728066011062,0.3
2,2,3.46,0.5,1,0,0.3,10,5,4.5278374392268,0.325
2,2,3.46,0.5,5,0,0.3,10,0.5,0.620631195554324,0.34
2,2,3.46,0.5,7,0,0.3,10,0.5,-0.44787827702055,0.38
2,2,3.46,0.5,3,0,0.3,10,1,0.260896692309302,0.38
2,2,3.46,0.5,3,0,0.3,10,5,-3.33525276784303,0.405
2,2,3.46,0.5,4,0,0.3,10,5,-2.62922031530729,0.43
2,2,3.46,0.5,5,0,0.3,10,5,-4.33022391324607,0.44
2,2,3.46,0.5,9,0,0.3,10,1,0.700111406219662,0.465
2,2,3.46,0.5,4,0,0.3,10,1,0.449520489638871,0.49
2,2,3.46,0.5,5,0,0.3,10,1,0.243452773630111,0.49
2,2,3.46,0.5,10,0,0.3,10,5,-2.21281540983193,0.595
2,2,3.46,0.5,9,0,0.3,10,5,-0.840655738254782,0.605
2,2,3.46,0.5,2,0,0.3,10,1,0.184819711375894,0.675
2,2,3.46,0.5,9,0,0.3,10,0.5,0.0621310424996864,0.685
2,2,3.46,0.5,6,0,0.3,10,1,0.410515606990316,0.71
2,2,3.46,0.5,2,0,0.3,10,0.5,0.279793171921028,0.725
2,2,3.46,0.5,10,0,0.3,10,1,-0.176363880550525,0.75
2,2,3.46,0.5,6,0,0.3,10,5,0.948579840592629,0.78
2,2,3.46,0.5,4,0,0.3,10,0.5,0.0474407737206093,0.79
2,2,3.46,0.5,8,0,0.3,10,5,-0.511215840415844,0.805
2,2,3.46,0.5,3,0,0.3,10,0.5,0.059311712464023,0.825
2,2,3.46,0.5,2,0,0.3,10,5,0.520296885330026,0.865
2,2,3.46,0.5,10,0,0.3,10,0.5,0.0423898561423357,0.92
2,2,3.46,0.5,8,0,0.3,10,0.5,0.0147092035779224,0.925
2,2,3.46,0.5,1,0,0.3,10,1,-0.0115942916189624,0.965
2,2,3.46,0.5,4,0,0.3,15,5,-3.33271103575157,0.045
2,2,3.46,0.5,6,0,0.3,15,0.5,0.454505183682727,0.05
2,2,3.46,0.5,9,0,0.3,15,1,-1.06648993277156,0.05
2,2,3.46,0.5,6,0,0.3,15,1,0.566976061011928,0.06
2,2,3.46,0.5,8,0,0.3,15,5,-4.70970239232747,0.07
2,2,3.46,0.5,7,0,0.3,15,5,-5.35784827487851,0.1
2,2,3.46,0.5,9,0,0.3,15,5,-5.12940326674698,0.11
2,2,3.46,0.5,2,0,0.3,15,1,-0.924846863833864,0.135
2,2,3.46,0.5,5,0,0.3,15,5,-3.32225050952138,0.14
2,2,3.46,0.5,1,0,0.3,15,0.5,0.462143117248502,0.15
2,2,3.46,0.5,3,0,0.3,15,5,0.734427896008583,0.155
2,2,3.46,0.5,10,0,0.3,15,1,0.618947259442962,0.265
2,2,3.46,0.5,2,0,0.3,15,5,-1.75768146578616,0.285
2,2,3.46,0.5,6,0,0.3,15,5,-1.10914065223869,0.325
2,2,3.46,0.5,1,0,0.3,15,1,0.367641808762301,0.355
2,2,3.46,0.5,4,0,0.3,15,0.5,-0.364296883715951,0.42
2,2,3.46,0.5,9,0,0.3,15,0.5,-0.252948631033746,0.435
2,2,3.46,0.5,4,0,0.3,15,1,0.23297590878235,0.515
2,2,3.46,0.5,2,0,0.3,15,0.5,0.149078623874402,0.555
2,2,3.46,0.5,3,0,0.3,15,0.5,0.415808828488252,0.57
2,2,3.46,0.5,7,0,0.3,15,1,-0.264768220406495,0.57
2,2,3.46,0.5,1,0,0.3,15,5,2.25777716079006,0.61
2,2,3.46,0.5,8,0,0.3,15,0.5,-0.108512721444185,0.62
2,2,3.46,0.5,8,0,0.3,15,1,-0.391878955576772,0.63
2,2,3.46,0.5,10,0,0.3,15,5,1.52342375916669,0.665
2,2,3.46,0.5,5,0,0.3,15,0.5,-0.0576539895561154,0.765
2,2,3.46,0.5,7,0,0.3,15,0.5,0.0837462137276361,0.78
2,2,3.46,0.5,3,0,0.3,15,1,0.172436894620205,0.785
2,2,3.46,0.5,10,0,0.3,15,0.5,-0.0050521639385579,0.95
2,2,3.46,0.5,5,0,0.3,15,1,-0.00768046692940061,0.95
2,2,3.46,0.5,5,0,0.3,20,1,1.0571645542127,0.025
2,2,3.46,0.5,6,0,0.3,20,1,0.348327978658858,0.045
2,2,3.46,0.5,6,0,0.3,20,5,-1.88367072652568,0.045
2,2,3.46,0.5,9,0,0.3,20,5,3.57920436894324,0.05
2,2,3.46,0.5,8,0,0.3,20,5,1.89126940083975,0.07
2,2,3.46,0.5,4,0,0.3,20,5,3.63211432248283,0.105
2,2,3.46,0.5,7,0,0.3,20,0.5,-0.319168400326134,0.175
